,question,answer
15,請問為甚麼我不能使用貨到付款呢?,您好，很高興能為您服務。Pure17go的商品目前配合之付款方式有：宅配貨到收款、信用卡、ATM轉帳方式～但是並非每一樣商品皆有做宅配貨到收款服務，故如果您需要此服務配送，則煩請您購買商品頁中有標示宅配貨到收款的商品喔！另外，如果您的整筆訂單中有其中一樣商品並未提供宅配貨到收款的服務，您的整筆訂單即無法使用此服務。還煩請您注意喔。謝謝您的來信。pure17go客服中心 敬上
16,請問可以選擇晚間配送嘛？,您好，很高興為您服務。不好意思!我們沒有提供晚間配送，還煩請您填寫可於日間收件的地址與連絡方式喔。謝謝您的支持與訂購喔！如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go　客服中心敬上
17,請問可以指定到貨時間配送嘛？,您好，不好意思，我們無法指定到貨時間與日期！但司機配送時若無人收件，司機皆會電話聯繫收件人確認，請您屆時再與司機確認即可。感謝您的來信～pure17go客服中心 敬上
18,請問我想更改付款方式，要怎麼做？,您好，很高興能為您服務。一旦訂單完成後，即無法更改付款方式。須先行取消訂單，您再重新訂購喔。謝謝您的來信詢問。如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go　客服中心敬上
19,我是以ATM方式下單，但不知為何訂單被取消了?,親愛的顧客您好，ATM付款說明如下：1.您若使用ATM匯款方式下單，您將會得到一組帳號，該帳號有效期限為5天請您務必在5天內(含例假日)完成匯款。2.若您不慎遺失帳號，您可自行上網登入帳戶進行查詢或來信至客服中心請求協助。3.您未曾來電或來信要求取消訂購卻被取消訂單，應是您超過了5天的匯款期限，若您仍需要該商品，您可重新上網再次訂購，我們於收到銀行入帳通知後會於3-7個工作日內完成出貨。4.注意：在未收到銀行入帳通知前，訂單不會先行出貨，不便之處敬請見諒。
20,ATM逾期未付款怎麼辦?,親愛的顧客，您好！選擇ATM匯款下單需於五天內完成匯款，若超過五天的匯款期限，系統將自動取消訂單。如尚需商品，需煩請您重新訂購喔！造成您的困擾，非常抱歉。
21,我是用信用卡付款，請問多久可以收到款項?是現金退款嗎?那如果是ATM付款呢?又是多久退款?,您好:感謝您的來信~依付款方式的不同而有所差異，說明如下:1.線上刷卡／信用卡線上分期付款(有合作之銀行)：退款方式：信用卡刷退，將款項退至您信用卡帳戶。退款日：取回商品並確認無誤後，十四個工作日內銀行即可完成退刷程序，刷退款項可能列於本月或次月帳單中，請依您的結帳日判斷。2.ATM轉帳／貨到付款／超商取貨付款：退款方式：匯款至您所提指定的帳戶退款日：取回商品並確認無誤後2~3內退款至您所提供的指定帳戶。※本站採購物車機制，折價券亦屬贈品的一種，若您對於部份商品不滿意欲辦理退貨，我們在退款時會先扣除折價券金額予以返還，視同該筆訂單您未使用折價券，我們會將已使用的折價券全數歸還至您的會員帳戶，您可待下次消費時使用。例：您購買了Ａ商品800元，Ｂ商品400元，商品總金額1200元，折價券折抵100元，實際付款金額1100元，您對Ｂ商品不滿意欲退貨，我們將退還300元給您，剩餘的100元折價券將歸回您的會員帳戶靜待您下次使用。如有任何問題請不吝告知~pure17go 客服中心敬上
22,我原先選擇轉帳，但你們非約定轉帳對象，所以無法進行。請問該怎麼辦？,您好，感謝您的來信。選擇ATM轉帳五天內未付款，該筆訂單會自動取消，請您不用擔心。剛剛幫您查詢過，您想要訂購的商品並沒有提供貨到付款或者超商取貨的方式。若您無法順利使用ATM進行轉帳，建議您可以重新下單訂購，選擇信用卡方式作為您付款的選擇。謝謝若有任何問題，都歡迎您以客服信或是撥打免付費電話0800-586-868，將有專人為您服務。pure17go無添加一起購 客服中心
23,請問我要如何加入會員購買?,您好，很高興能為您服務。建議您可以在網頁右上角點選＂加入會員＂，填寫簡單的資料後，即可直接線上訂購。操作說明建議參考：https://www.pure17go.com.tw/page9.php感謝您的來信。折價券部分結帳時，系統即會自動扣除，歡迎參觀選購喔！如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go　客服中心敬上
24,請問有配送國外或外島嘛?,您好:感謝您的來信，很抱歉，由於商品體積及保存方式不一，台灣以外地區一律無法配送！造成您的不便，敬請見諒！感謝您的支持與耐心久候pure17go 客服中心敬上
25,黑豆水標榜為青仁黑豆，為何收到是黃仁黑豆?!,"您好，因原料買進的青仁黑豆，皮剝開確實是綠色的，待經過烘培過後，果仁就會變成黃褐色，此為正常現象；有如生咖啡豆是綠色的，烘培過後就變成咖啡色是一樣的道理。此商品確實是用""有機青仁黑豆""無誤。感謝您的支持pure17go客服中心 敬上"
26,新疆生眉草睫毛液的顏色怎麼跟電視呈現的不一樣?!,您好，因此商品是使用天然物料去提煉製造且每批天然原物料會受氣候、季節影響故每個產品生產出來顏色會有些許差異但顏色不會影響到商品的效用請您安心使用感謝您的支持pure17go 客服中心敬上＿
27,哈密瓜面膜用了，為什麼皮膚會有刺痛感?,您好，哈密瓜面膜因在使用時，會有軟化角質，讓保濕成分更加深入基底故有少部份人初次使用會有刺痛感，這都是正常的情況，並非過敏建議可連續使用一週，刺痛感覺會越來越減輕但若使用後，皮膚有紅腫或長疹子，此為過敏現象請立即停用並就醫感謝您的支持pure17go 客服中心敬上
28,請問為甚麼我買多樣商品，只收到一樣，是漏寄嗎?,您好，很高興為您服務。我們的商品有可能因為材積關係放置不同倉庫，由不同廠商分批出貨。但商品都會在三~五個工作日內(即不含六日)完成寄出，故請您不需擔心。謝謝您的來信。如您還有任何需要我們服務的地方，歡迎您再次來信。 pure17go　客服中心敬上
29,請問整組我不喜歡可以單買或挑色挑選喜歡的買嘛?,您好，很高興能為您服務。我們的商品皆為組合性特價販售，故沒有做單瓶販賣銷售，這部分真的非常不好意思！但是您的困擾與心聲，客服這邊會協助您告知相關人員，以便之後做改進進步。感謝您的來信詢問。如您還有任何需要我們服務的地方，歡迎您再次來信。 pure17go　客服中心敬上
30,請問你們商品有鑑賞期服務嘛？,"您好，感謝您的來信。pure17go的商品並沒有提供開放試用，但是我們有提供完整的七日鑑賞期如果在您收到貨七日內，若針對商品組合、尺寸不合、顏色不喜歡或商品瑕疵皆可透過網路申請辦理退貨，在您收到商品三個工作天內，登入會員帳號，按訂單查詢，點選要辦理退貨的購物編號，可看到""我要退貨""的選項，請您依照指示申請退貨。司機會在您申請退貨後，約三~五個工作天至收件地址收取退貨請您安心購買喔：）如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go　客服中心敬上"
31,Hurom 慢磨料理機製造地是哪裡？保固期多久?刀片不利時可以換刀片嗎?換一次多少錢?,您好:感謝您的來信!研磨軸不是刀片，是螺旋桿，但一般不會壞，螺旋桿零件費$2600產地:韓國。如您還有任何需要我們服務的地方，請不吝告知～pure17go　客服中心敬上
32,我要辦理退貨，但訂單查詢內無我要退貨選項可申請?,您好，若您的購物編號狀態為出貨中或是已出貨，尚無法辦理退貨！請您收到商品三個工作天後，登入會員，點選訂單查詢，訂單狀態為【出貨完成】，此時右手邊即會有【我要退貨】欄位可申請退貨，若超過七天審閱期後，我要退貨選項會關閉，即無法再做退貨申請。感謝您的來信～pure17go客服中心 敬上
33,若商品送來時拒收，款項何時退?,您好，若商品司機送達時您確認不要拒收了此拒收件會於3-5個工作天退回倉庫待倉庫收到拒收商品，確認無誤後約10個工作天內會申請退刷或退款處理感謝您的支持pure17go 客服中心敬上
34,電子發票~~~退貨說明,您好，因本公司已由國稅局核准同意使用「網路銷折」，故個人電子發票辦理退貨時，可於網路上同意由Pure17go購物網代為處理銷貨退回證明單，以加速退貨退款申請。感謝您的支持pure17go 客服中心敬上
35,商品七天審閱期內辦退，發票該如何處理?,您好，<個人發票-二聯式發票>若未索取正本，退貨無需附回發票；但已索取發票正本者，請在收到紙本發票後掛號寄回至本公司(地址如下)，始可辦理退貨。<公司發票-三聯式發票>發票於商品到貨日後10天寄出，若商品於七天審閱期內辦理退貨，客服後續會請您填寫折讓單，請您收到折讓單後，蓋上發票章及簽上大名後，掛號寄回本公司(地址如下)，始可辦理退貨。公司名稱：民視文化事業股份有限公司公司地址：24445新北市林口區信義路99號6樓收件單位：消費高手Pure17go─客服中心收感謝您的支持pure17go 客服中心敬上
36,若我所訂購的商品是使用信用卡分期付款，若屆時部分商品不滿意，請問可以部分退貨\退款嗎?,您好，很抱歉!由於您訂購商品的付款方式是選擇分期付款，因銀行端的作業無法配合部分的分期退款，故訂單若申請部分退貨，款項將會以退款方式處理，請您於網頁申請退貨時，再填寫正確退款帳戶資料，待收回商品點收無誤後，款項將會於7-10個工作天內申請退款處理。感謝您的支持Pure17go客服中心敬上
37,我在網路上已經申請退貨，大概多久司機會來收貨?,您好，很高興為您服務若您在網路上已申請退貨司機將會在七個工作天(不含假日)內至您收件地址收取退貨謝謝您的來信。如有任何問題請不吝告知~pure17go 客服中心敬上
38,我是用信用卡付款，請問多久可以收到款項?,您好，很高興為您服務若您訂單付款方式為：信用卡付款訂單辦理退貨情況，退款一律使用信用卡退刷處理款項會在收回退貨商品確認無誤後，約10個工作天內完成退刷！但因每張信用卡結帳日不同，刷退款項可能列於本月或次月帳單中，請依您的結帳日判斷!謝謝您的來信。pure17go客服中心 敬上
39,請問我是付現金，不是刷卡付款，是怎麼退款呢？,您好，很高興為您服務若您訂單付款方式為：貨到付款或ATM轉帳訂單辦理退貨情況，退款一律皆退至您提供的退款帳戶款項會在收回退貨商品確認無誤後，約10個工作天內完成退款！謝謝您的來信。如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go 客服中心敬上
40,請問我要如何退貨?,您好，您收到商品皆享有七天審閱期，但審閱期並非試用期！！若您在鑑賞期內欲辦理退貨，請您務必保持商品完整性，並於收到商品三個工作天後，透過網路申請退貨需求。若您是使用手機或是平版上網，請先於網頁下方點選【電腦版】再登入會員，點選訂單查詢辦理退貨。1、登入會員帳號2、點選訂單查詢3、點選欲退貨之購物編號，訂單狀態須為【出貨完成】4、點選【我要退貨】申請，依照網頁說明，完成退貨申請5、確認退貨申請，司機將於七個工作天(不含假日)至原收件地址收取退貨6、待倉庫收到退貨商品，點收無誤後，退款即會在10個工作天內申請退刷/退匯處理特別注意：若收回退貨商品經點收後，發現退貨商品不符審閱期規範，將無法受理您的退貨，且後續會協助將退貨商品寄還給您。pure17go客服中心 敬上
41,請問我買錯顏色、買錯組合、要換尺寸，可以直接更換嗎？,您好，很高興為您服務若您收到商品，發現商品尺寸、品項、顏色不符需求，很抱歉，無法以換貨方式更換，請您辦理退貨，重下新單，換貨僅提供商品瑕疵情況，請廠商協助處理 ，在商品未使用及下水且商品完整情況下 ，商品皆享有七天鑑賞期，請您透過網路申請退貨處理!謝謝您的來信。如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go 客服中心敬上
42,請問活動折價券如何使用?,您好，活動折價券使用辦法如下：折價券使用說明:1.若要查詢每張折價券使用期限與消費折抵門檻，請您登入網頁會員後，即可至您的會員帳戶內點選【折價券】，查詢您的折價券餘額及效期，若在期限前未使用完畢，則視為自動放棄。，造成不便敬請見諒2.結帳時若訂單商品金額，皆符合折價券折抵規範，系統會依照折價券期限自動折抵，另提醒您單筆訂單僅能使用一張折價券折扣。3.部分已優惠商品不適用折價券折抵，請參見各商品頁說明。4.折價券一經使用則不可返回，若您取消訂購（或退貨）該折價券將不退回。5.特別要提醒的部份，若您部份退貨造成不符折抵條件，則退貨金額需扣除該次使用的折價券金額。（例：若訂單金額2000，使用折價券200元，實際支付1800元，部份退貨900元，則實退金額為900-200=700元)。感謝您的支持～pure17go客服中心 敬上
43,請問生日折價券如何獲得？,您好，很高興為您服務。生日折價券會在當月份1號發送當月份的生日壽星會員三百元。如您是三月份生日，因此三月份的壽星折價券已在3/1即已發送完畢。於3/1以後加入會員的三月份壽星即會無法收到折價券。本站的折價券使用說明如下：1.單次消費金額超過1000元以上即可使用1張100元的折價券，提醒您單筆訂單僅能使用一張折價券折扣。2.每張折價券皆有使用期限，您可以至您的會員帳戶查詢您的折價券餘額、生效日期及截止日期，若在期限前未使用完畢，則視為自動放棄。3.折價券一經使用則不可返回，若您辦理退貨該折價券將不退回。4.特別要提醒的部份，若您部份退貨，則退貨金額需扣除該次使用的折價券金額。（例：若訂單金額2600，使用折價券200元，實際支付2400元，部份退貨900元，則實退金額為900-200=700元）但若商品網頁有註明特惠商品不適用折價券折扣，即無法與折價券合併使用。以上說明，若有不清楚的地方，歡迎隨時來信，我們將會儘速為您服務，謝謝。pure17go　客服中心敬上
44,請問折價券有使用上的限制嗎?,親愛的顧客您好，本站的折價券使用說明如下：1.單次消費金額超過1000元以上即可使用1張100元的折價券，提醒您單筆訂單僅能使用單張折價券折扣。2.每張折價券皆有使用期限，您可以至您的會員帳戶查詢您的折價券餘額及效期，若在期限前未使用完畢，則視為自動放棄。3.折價券一經使用則不可返回，若您辦理退貨該折價券將不退回。4.特別要提醒的部份，若您部份退貨，則退貨金額需扣除該次使用的折價券金額。（例：若訂單金額2600，使用折價券200元，實際支付2400元，部份退貨900元，則實退金額為900-200=700元）5.折價券系統皆會自動判斷折抵，除非特殊活動期間，網頁無法使用折價券折扣，即無法折抵。以上說明，若有不清楚的地方，歡迎隨時來信，我們將會儘速為您服務，謝謝～
45,請問生日折價券要如何使用?消費一次只能使用一張嗎?,您好！生日折價券的使用方式與一般折價券相同。本站的折價券使用說明如下：1.單次消費金額超過1000元以上即可使用1張100元的折價券，提醒您單筆訂單僅能使用單張折價券使用。2.每張折價券皆有使用期限，您可以至您的會員帳戶查詢您的折價券餘額及效期，若在期限前未使用完畢，則視為自動放棄。3.折價券一經使用則不可返回，若您辦理退貨該折價券將不退回。4.特別要提醒的部份，若您部份退貨，則退貨金額需扣除該次使用的折價券金額。（例：若訂單金額2600，使用折價券200元，實際支付2400元，部份退貨900元，則實退金額為900-200=700元）以上說明，若有不清楚的地方，歡迎隨時來信，我們將會儘速為您服務。pure17go客服中心 敬上
46,新會員首購折價券如何使用呢?是否可以和其他折價券一同使用呢?,"您好,新會員首購活動如下:新會員加入會員立即送1000元折價券，折價券面額如下：折價券面額$100元x1張 (消費滿1,000得抵用一張)折價券面額$200元x1張 (消費滿2,000得抵用一張)折價券面額$300元x1張 (消費滿3,000得抵用一張)折價券面額$400元x1張 (消費滿4,000得抵用一張)當下立即歸戶即可使用，使用期限90天。例如:訂單結帳金額2000元以上，可使用200元折價券一張，若訂單結帳金額滿4000元以上，可使用400元折價券一張，系統會自動折抵，無須輸入折價券序號。新會員首購優惠無法合併其他優惠使用，例如:若商品網頁有註明*特惠商品組合不適用折價券折扣，即表示此商品無法使用折價券折扣；若首次訂購商品，訂單取消，再重新成立訂單，折價券是會回歸仍可使用，但若訂單辦理退貨，折價券則會歸零。再次提醒折價券使用期限為發行後90天須使用完畢。新會員折價券無法與網頁行銷活動優惠合併使用，故請您訂單結帳時擇一使用。pure17go客服中心 敬上"
47,請問我們想在Pure17go上架販售，如何聯繫呢？,您好！感謝您的來信~煩請您將貴公司的相關基本資料與販售商品相關說明寄至[emailprotected]我們將轉交予相關商開人員與您聯繫。如您還有任何需要我們服務的地方，請不吝告知。pure17go　客服中心敬上
48,申請之發票何時寄出？,您好，發票將於您收到商品十天後，未辦理退貨情況下，紙本發票將會在兩週內【掛號】寄出。煩請您耐心等候～謝謝您的來信！pure17go客服中心 敬上
49,請問原本選二聯式發票或三聯式發票，之後可以更改嘛?,您好，很高興為您服務注意:若您當初於訂購時已選擇三聯式發票，訂單成立後就無法更改為二聯式發票，當初已選擇二聯式發票亦無法變更為三聯式發票，請於消費時確認應取得二聯（個人消費）或三聯（報帳用）發票，本公司已盡告知義務，且為配合國稅局勸止二聯換開三聯之政策，本公司有權利考量各因素後拒絕換開發票。若誤選請盡速取消訂單重新訂購。Pure17go 客服中心敬上
50,紙本發票問題是否可更改抬頭?,您好，訂單只要一經成立，電子發票抬頭即設定皆為空白故若後續申請紙本發票，列印之抬頭也將會是空白倘若發票寄送地址及相關聯絡資料因消費者填寫不完整或錯誤導致發票無法寄送或超過對獎期間內送達本公司將不受理補償及其他相關賠償責任感謝您的支持pure17go 客服中心敬上
51,電子發票~~~好康報報!!!,"財政部為提倡環保，減少紙張浪費，針對電子發票提出優惠響應方法:2013/7/1起持載具消費不列印電子發票，每期加開2,000組2,000元專屬獎項為提高民眾使用載具索取電子發票之誘因，財政部規劃實施「無實體電子發票專屬獎項」，並自102年7至8月期統一發票起，每期無實體電子發票加開2,000個專屬中獎號碼，每個中獎號碼獎金新臺幣(下同)2,000元。   推動電子發票最終目標是達成全面無紙化，目前每期無實體電子發票開立張數約3,000萬張，占整體電子發票之比率僅6%，為鼓勵民眾使用手機條碼、悠遊卡、icash卡、會員卡等載具儲存電子發票替代索取紙本電子發票，以落實全面無紙化目標，財政部規劃「無實體電子發票專屬獎項」，自102年7至8月期統一發票起，每期抽出2,000個專屬中獎號碼（含2位英文字軌及8位阿拉伯數號碼），民眾若同時對中統一發票各獎別及無實體電子發票專屬獎項號碼，可選擇較高之獎額兌領。　　民眾以愛心碼捐贈予社福團體之電子發票及消費時直接捐贈給社福團體之無實體電子發票，亦包含在本次無實體電子發票抽獎範圍。已捐贈之無實體電子發票若中獎將由受贈社福團體領取獎金。　　財政部呼籲民眾響應環保愛護地球，購物消費要記得使用載具儲存電子發票或以愛心碼捐贈電子發票，自102年7至8月期統一發票起，每期加開2,000個無實體電子發票獎項，每個獎額2,000元，等您來兌領。　　故請各位會員盡量選擇電子式二聯發票，除了可增加發票對獎機率還可響應環保，一舉兩得，電子式二聯式發票皆會由電腦系統兌獎，有中獎皆會使用掛號寄送，請各位大大安心選擇電子式二聯發票!!!!"
52,請問我買三樣商品，為甚麼只收到兩樣？,"您好,很高興為您服務.由於商品有可能因為材積關係放置不同倉庫,由不同廠商分批出貨.但商品都會在三~五個工作日內(即不含六日)完成寄出,故請您不需擔心.謝謝您的來信. 如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go　客服中心敬上"
53,請問客服電話是多少？無法接聽上怎麼辦？,您好，很高興為您服務。免付費專線0800-58-6868，因客服電話非24小時都有客服人員在線上，歡迎直接來信告知您的問題，以便為您處理!（服務時間為週一至週五AM9:30-12:00 PM13:30-17:00)如您還有任何需要我們服務的地方，請不吝告知。pure17go客服中心 敬上
54,我忘記密碼了，怎麼辦?,親愛的顧客您好：1.您可以至會員登入頁點選我忘記密碼，系統自會發mail與簡訊至您原本註冊的email信箱和手機內，請您至該email信箱領取驗證碼，進入指定連結更改密碼即可。2.若您使用的是yahoo.pchome…等免費信箱，這些信箱有可能將本站發出的信件自動歸入垃圾信件中，若您於30分鐘內未收到，請您至垃圾郵件再次確認。謝謝您的來信。如您還有任何需要我們服務的地方，歡迎您再次來信。 pure17go　客服中心敬上
55,"請問收到貨物,未甚麼未附上發票呢?",您好，消費高手一起購，自 2013年起即使用二聯式電子式發票，並不會寄送購物紙本發票。會由系統統一核對發票，如有中獎才會掛號寄出喔！查看發票處為登入帳號後，點選右上角＂訂單查詢＂，進去點選您要查詢的訂單(購物編號)，下方寄送資訊中即可查看您的發票號碼(索取紙本發票)。如您需要紙本發票，煩請您在收到商品十天後進入＂訂單查詢＂後，點選＂申請紙本發票＂，紙本發票將會在兩週內【平信】完成寄出。謝謝您的來信～pure17go客服中心 敬上
56,【重要公告】勿聽信來路不明的詐騙電話! 防詐騙 請撥165求證!,【Pure17go 提醒您，請提高警覺維護個人資料】因網路詐騙頻傳，Pure17go十分重視重視消費者權益，除了提升資安防護等級，定期與專業資安廠商顧問協商諮詢外特別提醒您：●勿點擊來路不明的網址連結，勿在公用電腦登入您私人帳戶，如果一定要登入，離開時請記得登出。●每三個月定期更新密碼，定期更新防毒軟體與定期執行掃毒程式。●個人郵件與不同網站會員資料，盡量使用不同帳戶、密碼。●若您使用門巿到店取貨或是宅配貨到收款，不會發生【分期付款】及【自動扣款】的選項●ATM轉帳僅可將錢轉出，無法解除錯誤設定，更無法將錢轉入！並無法解除分期設定●Pure17go不會在非上班時間外撥電話，若有任何疑慮請洽本站或與165反詐騙諮詢專線確認。
57,請問為甚麼我不能使用貨到付款或是7-11取貨付款呢?,您好，很高興能為您服務。Pure17go的商品皆已訂購金額為售價，並不需要運費，商品皆為免運費。目前出貨方式有宅配，宅配貨到收款，信用卡及ATM匯款。但是並非每一樣商品皆有做宅配貨到收款的服務，故如果您需要此服務配送，則煩請您購買商品頁中有標示宅配貨到收款的商品喔！另外，如果您的整筆訂單中有其中一樣商品並未提供宅配貨到收款的服務，您的整筆訂單即無法使用此服務。還煩請您注意喔。謝謝您的來信。如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go　客服中心敬上
58,請問我完成訂單後，可以更改訂單內容或付款方式嗎?,您好，很高興能為您服務。一旦訂單完成後，即無法更改內容與付款方式。須煩請您自行取消訂單後，再重新訂購喔！謝謝您的來信詢問。如您還有任何需要我們服務的地方，歡迎您再次來信。pure17go　客服中心敬上
59,請問你們可以指定送貨日期與時間嗎?,您好，很高興為您服務。不好意思!網頁訂單無法指定到貨時間，但若司機配送時無人收件，司機皆會電話聯繫收件人確認，請您屆時再與司機確認即可。謝謝您的支持與訂購喔！pure17go客服中心 敬上
60,請問你們有配送國外嗎?,您好，很抱歉，由於商品體積及保存方式不一，台灣本島以外地區一律無法配送！造成您的不便，敬請見諒！感謝您的支持～pure17go客服中心 敬上
