,question,answer
10,刷卡 分期 是 零利率 ,您好 ， 網頁 訂單 分期 方式 如下 ： 訂單 金額 超過 3000 元 以上 可 分 三期 ， 訂單 金額 超過 6000 元 以上 可 分 六期 ， 刷卡 分期 皆 為 零利率 無息 分期 。 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
11,請問 購買 商品 需要 付 運費,您好 ， 目前 網路 訂購 商品 皆 免 運費 不論 訂單 金額 多少 皆 免 運費 喔 請 您 安心 選購 商品 感謝您 的 支持 pure17go   客服 中心 敬 上
12,訂單 刷卡 失敗  該 如何 處理  ,您好 ， 1 、 若 您 使用 信用卡 訂購 ， 但 刷卡 系統 回報 付款 失敗 ， 系統會 自動 取消 訂單 若 要 訂購 ， 請 重新 下單 完成 付款 。 2 、 若 您 使用 信用卡 訂購 ， 但 刷卡 系統 連線 回應 過久 ， 系統會 顯示 等待 付款 ， 請 您 透過 網頁 取消 此筆 訂單 ， 再 重新 訂購 。 取消 訂單 流程 : 登入 會員 ， 點選 右上方 訂單 查詢 ， 確認 要 取消 之 購物 編號 ， 右手邊 會 有 一個 【 我要 取消 】 欄位 可 申請 。 若有 其他 問題 ， 歡迎 再 來信 詢問 pure17go   客服 中心 敬 上
13,商品 下訂 完 後  因故 不 想要 了  要 如何 取消 訂單  ,"您好 ， 若 要 取消 訂單 ， 請 您 於 網頁 登入 會員 後 ， 點選 右上方 的 訂單 查詢 會 看到 您 訂購 的 購物 編號 ， 若 訂單 狀態 為 待 出貨 時 ， 右手邊 有 "" 我要 取消 "" 申請 欄位 請 您 點選 我要 取消 ， 依照 指示 操作 即可 但 若 訂單 狀態 為 已 出貨 或 出貨 中 ， 請 您 收到 商品 後 再 透過 網路 辦理 退貨 或是 司機 配送 時 直接 拒收 處理 感謝您 的 支持 pure17go   客服 中心 敬 上"
14,我 明明 已經 取消 訂單  為何 信用卡 帳單  還有 此筆 款項,您好 ， 若 您 訂單 狀態 為 取消 訂單 ， 款項 並非 取消 當下 立即 退刷 款項 會 於 七個 工作 天 內 ( 不 含 假日 ) 申請 退刷 完成 ， 但 因 每張 信用卡 的 結帳 日 不同 ， 實際 入帳 日 需 依照 您 的 信用卡 結帳 日 為主 感謝您 的 支持 pure17go   客服 中心 敬 上
15,請問 為 甚麼 我 不能 使用 貨到付款 呢  ,您好 ， 很 高興 能 為您服務 。 Pure17go 的 商品 目前 配合 之 付款 方式 有 ： 宅配 貨到 收款 、 信用卡 、 ATM 轉帳 方式 ～ 但是 並非 每 一樣 商品 皆 有 做 宅 配貨到 收款 服務 ， 故 如果 您 需要 此 服務 配送 ， 則 煩請 您 購買 商品 頁 中 有 標示 宅配 貨到 收款 的 商品 喔 ！ 另外 ， 如果 您 的 整筆 訂單 中有 其中 一樣 商品 並未 提供 宅配 貨到 收款 的 服務 ， 您 的 整筆 訂單 即 無法 使用 此 服務 。 還 煩請 您 注意 喔 。 謝謝您 的 來信 。 pure17go 客服 中心   敬 上
16,請問 可以 選擇 晚間 配送 嘛,您好 ， 很 高興 為您服務 。 不好意思 ! 我們 沒有 提供 晚間 配送 ， 還 煩請 您 填寫 可於 日間 收件 的 地址 與 連絡 方式 喔 。 謝謝您 的 支持 與 訂購 喔 ！ 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go 　 客服 中心 敬 上
17,請問 可以 指定 到貨 時間 配送 嘛 ,您好 ， 不好意思 ， 我們 無法 指定 到貨 時間 與 日期 ！ 但 司機 配送 時若 無人 收件 ， 司機 皆 會 電話 聯 繫 收件人 確認 ， 請 您 屆時 再 與 司機 確認 即可 。 感謝您 的 來信 ～ pure17go 客服 中心   敬 上
18,請問 我 想 更改 付款 方式  要 怎麼 做,您好 ， 很 高興 能 為您服務 。 一旦 訂單 完成 後 ， 即 無法 更改 付款 方式 。 須 先行 取消 訂單 ， 您 再 重新 訂購 喔 。 謝謝您 的 來信 詢問 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go 　 客服 中心 敬 上
19,我 是 以 ATM 方式 下單  但 不知 為何 訂單 被 取消 了 ,親愛 的 顧客 您好 ， ATM 付款 說明 如下 ： 1 . 您 若 使用 ATM 匯款 方式 下單 ， 您 將會 得到 一組 帳號 ， 該 帳號 有效期 限為 5 天請 您 務必 在 5 天內 ( 含 例假日 ) 完成 匯款 。 2 . 若 您 不慎 遺失 帳號 ， 您 可 自行 上網 登入 帳戶 進行 查詢 或 來信 至 客服 中心 請求 協助 。 3 . 您 未曾 來電 或 來信 要求 取消 訂購 卻 被 取消 訂單 ， 應是 您 超過 了 5 天 的 匯款 期限 ， 若 您 仍 需要 該 商品 ， 您 可 重新 上網 再次 訂購 ， 我們 於 收到 銀行 入帳 通知 後會 於 3 - 7 個 工作日內 完成 出貨 。 4 . 注意 ： 在 未 收到 銀行 入帳 通知 前 ， 訂單 不會 先行 出貨 ， 不便 之 處 敬請 見諒 。
20,ATM 逾期 未 付款 怎麼辦 ,親愛 的 顧客 ， 您好 ！ 選擇 ATM 匯款 下單 需 於 五天 內 完成 匯款 ， 若 超過 五天 的 匯款 期限 ， 系統將 自動 取消 訂單 。 如 尚需 商品 ， 需 煩請 您 重新 訂購 喔 ！ 造成 您 的 困擾 ， 非常 抱歉 。
21,我 是 用 信用卡 付款  請問 多久 可以 收到 款項  是 現金 退款 嗎  那 如果 是 ATM 付款 呢  又 是 多久 退款 ,您好 : 感謝您 的 來信 ~ 依 付款 方式 的 不同 而 有所 差異 ， 說明 如下 : 1 . 線上 刷卡 ／ 信用卡 線上 分期付款 ( 有 合作 之 銀行 ) ： 退款 方式 ： 信用卡 刷 退 ， 將 款項 退至 您 信用卡 帳戶 。 退款 日 ： 取回 商品 並 確認 無誤 後 ， 十四個 工作日內 銀行 即可 完成 退刷 程序 ， 刷 退 款項 可能 列於 本月 或次 月 帳單 中 ， 請 依 您 的 結帳 日 判斷 。 2 . ATM 轉帳 ／ 貨到付款 ／ 超商 取貨 付款 ： 退款 方式 ： 匯款 至 您 所 提 指定 的 帳戶 退款 日 ： 取回 商品 並 確認 無誤 後 2 ~ 3 內 退款 至 您 所 提供 的 指定 帳戶 。 ※ 本站 採 購物車 機制 ， 折價券 亦屬 贈品 的 一種 ， 若 您 對於 部份 商品 不滿 意欲 辦理 退貨 ， 我們 在 退款 時會 先 扣除 折價券 金額 予以 返還 ， 視同 該筆 訂單 您 未 使用 折價券 ， 我們 會將 已 使用 的 折價券 全數 歸還 至 您 的 會員 帳戶 ， 您 可待 下次 消 費時 使用 。 例 ： 您 購買 了 Ａ 商品 800 元 ， Ｂ 商品 400 元 ， 商品 總金額 1200 元 ， 折價券 折抵 100 元 ， 實際 付款 金額 1100 元 ， 您 對 Ｂ 商品 不滿 意欲 退貨 ， 我們 將 退還 300 元給 您 ， 剩餘 的 100 元 折價券 將 歸回 您 的 會員 帳戶 靜待 您 下次 使用 。 如 有 任何 問題 請 不吝 告知 ~ pure17go   客服 中心 敬 上
22,我 原先 選擇 轉帳  但 你們 非 約定 轉帳 對象  所以 無法 進行  請問 該 怎麼辦  ,您好 ， 感謝您 的 來信 。 選擇 ATM 轉帳 五天 內未 付款 ， 該筆 訂單 會 自動 取消 ， 請 您 不用 擔心 。 剛剛 幫 您 查詢 過 ， 您 想要 訂購 的 商品 並 沒有 提供 貨到付款 或者 超商 取貨 的 方式 。 若 您 無法 順利 使用 ATM 進行 轉帳 ， 建議您 可以 重新 下單 訂購 ， 選擇 信用卡 方式 作為 您 付款 的 選擇 。 謝謝 若有 任何 問題 ， 都 歡迎您 以 客服 信 或是 撥打 免 付費 電話 0800 - 586 - 868 ， 將有 專人 為您服務 。 pure17go 無 添加 一起 購   客服 中心
23,請問 我要 如何 加入 會員 購,您好 ， 很 高興 能 為您服務 。 建議您 可以 在 網頁 右上角 點選 ＂ 加入 會員 ＂ ， 填寫 簡單 的 資料 後 ， 即可 直接 線上 訂購 。 操作 說明 建議 參考 ： https : / / www . pure17go . com . tw / page9 . php 感謝您 的 來信 。 折價券 部分 結帳 時 ， 系統 即會 自動 扣除 ， 歡迎 參觀 選購 喔 ！ 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go 　 客服 中心 敬 上
24,請問 有 配送 國外 或 外島 ,您好 : 感謝您 的 來信 ， 很 抱歉 ， 由於 商品 體積 及 保存 方式 不 一 ， 台灣 以外 地區 一律 無法 配送 ！ 造成 您 的 不便 ， 敬請 見諒 ！ 感謝您 的 支持 與 耐心 久候 pure17go   客服 中心 敬 上
25,黑豆 水 標榜 為 青仁 黑豆  為何 收到 是 黃 仁 黑豆   ,"您好 ， 因 原料 買進 的 青仁 黑豆 ， 皮 剝開 確實 是 綠色 的 ， 待 經過 烘培 過後 ， 果仁 就 會 變成 黃褐色 ， 此為 正常 現象 ； 有如 生 咖啡豆 是 綠色 的 ， 烘培 過後 就 變成 咖啡色 是 一樣 的 道理 。 此 商品 確實 是 用 "" 有機 青仁 黑豆 "" 無誤 。 感謝您 的 支持 pure17go 客服 中心   敬 上"
26,新疆 生眉草 睫毛液 的 顏色 怎麼 跟 電視 呈現 的 不 一樣  ,您好 ， 因此 商品 是 使用 天然 物料 去 提煉 製造 且 每批 天然 原 物料 會受 氣候 、 季節 影響 故 每個 產品 生產 出來 顏色 會 有 些許 差異 但 顏色 不會 影響 到 商品 的 效用 請 您 安心 使用 感謝您 的 支持 pure17go   客服 中心 敬 上 ＿
27,哈密瓜 面膜 用 了  為什麼 皮膚 會 有 刺痛感 ,您好 ， 哈密瓜 面膜 因 在 使用 時 ， 會 有 軟化 角質 ， 讓 保濕 成分 更加 深入 基底 故有 少 部份 人 初次 使用 會 有 刺痛感 ， 這都 是 正常 的 情況 ， 並非 過敏 建議 可 連續 使用 一週 ， 刺痛 感覺 會 越來越 減輕 但 若 使用 後 ， 皮膚 有 紅腫 或長 疹子 ， 此為 過敏 現象 請 立即 停用 並 就醫 感謝您 的 支持 pure17go   客服 中心 敬 上
28,請問 為 甚麼 我 買 多樣 商品  只 收到 一樣  是 漏 寄 ,您好 ， 很 高興 為您服務 。 我們 的 商品 有 可能 因為 材積 關係 放置 不同 倉庫 ， 由 不同 廠商 分批 出貨 。 但 商品 都 會 在 三 ~ 五個 工作日內 ( 即 不 含 六日 ) 完成 寄出 ， 故請 您 不 需 擔心 。 謝謝您 的 來信 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。   pure17go 　 客服 中心 敬 上
29,請問 整組 我 不 喜歡 可以 單買 或 挑色 挑選 喜歡 的 買 嘛 ,您好 ， 很 高興 能 為您服務 。 我們 的 商品 皆 為 組合 性 特價 販售 ， 故 沒有 做 單瓶 販賣 銷售 ， 這部分 真的 非常 不好意思 ！ 但是 您 的 困擾 與 心聲 ， 客服 這邊 會 協助 您 告知 相關 人員 ， 以便 之後 做 改進 進步 。 感謝您 的 來信 詢問 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。   pure17go 　 客服 中心 敬 上
30,請問 你們 商品 有 鑑賞期 服務 嘛 ,"您好 ， 感謝您 的 來信 。 pure17go 的 商品 並 沒有 提供 開放 試用 ， 但是 我們 有 提供 完整 的 七日 鑑賞期 如果 在 您 收到 貨 七日 內 ， 若 針對 商品 組合 、 尺寸 不合 、 顏色 不 喜歡 或 商品 瑕疵 皆 可 透過 網路 申請 辦理 退貨 ， 在 您 收到 商品 三個 工作 天 內 ， 登入 會員帳號 ， 按 訂單 查詢 ， 點選 要 辦理 退貨 的 購物 編號 ， 可 看到 "" 我要 退貨 "" 的 選項 ， 請 您 依照 指示 申請 退貨 。 司 機會 在 您 申請 退貨 後 ， 約 三 ~ 五個 工作 天至 收件 地址 收取 退貨 請 您 安心 購買 喔 ： ） 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go 　 客服 中心 敬 上"
31,Hurom   慢磨 料理 機 製造 地是 哪裡  保固期 多久  刀片 不利 時 可以 換 刀片 嗎  換 一次 多少 ,您好 : 感謝您 的 來信 ! 研磨 軸 不是 刀片 ， 是 螺旋 桿 ， 但 一般 不會 壞 ， 螺旋 桿 零件 費 $ 2600 產地 : 韓國 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 請 不吝 告知 ～ pure17go 　 客服 中心 敬 上
32,我要 辦理 退貨  但 訂單 查詢 內 無 我 要 退貨 選項 可 申,您好 ， 若 您 的 購物 編號 狀態 為 出貨 中 或是 已 出貨 ， 尚 無法 辦理 退貨 ！ 請 您 收到 商品 三個 工作 天 後 ， 登入 會員 ， 點選 訂單 查詢 ， 訂單 狀態 為 【 出貨 完成 】 ， 此時 右手邊 即會 有 【 我要 退貨 】 欄位 可 申請 退貨 ， 若 超過 七天 審閱 期 後 ， 我要 退貨 選項 會 關閉 ， 即 無法 再 做 退貨 申請 。 感謝您 的 來信 ～ pure17go 客服 中心   敬 上
33,若 商品 送 來時 拒收  款項 何時 退  ,您好 ， 若 商品 司機 送達 時 您 確認 不要 拒收 了 此 拒收 件 會 於 3 - 5 個 工作 天 退回 倉庫 待 倉庫 收到 拒收 商品 ， 確認 無誤 後 約 10 個 工作 天內會 申請 退刷 或 退款 處理 感謝您 的 支持 pure17go   客服 中心 敬 上
34,電子 發票    退貨 說明,您好 ， 因本 公司 已 由 國稅局 核准 同意 使用 「 網路 銷折 」 ， 故 個人 電子 發票 辦理 退貨 時 ， 可於 網路上 同意 由 Pure17go 購物網 代為 處理 銷貨 退回 證明單 ， 以 加速 退貨 退款 申請 。 感謝您 的 支持 pure17go   客服 中心 敬 上
35,商品 七天 審閱 期內 辦退  發票 該 如何 處理 ,您好 ， < 個人 發票 - 二聯式 發票 > 若 未 索取 正本 ， 退貨 無需 附回 發票 ； 但 已 索取 發票 正本 者 ， 請 在 收到 紙本 發票 後 掛號 寄回 至本 公司 ( 地址 如下 ) ， 始可 辦理 退貨 。 < 公司 發票 - 三聯式 發票 > 發票 於 商品 到貨 日後 10 天 寄出 ， 若 商品 於 七天 審閱 期內 辦理 退貨 ， 客服 後續 會 請 您 填寫 折讓 單 ， 請 您 收到 折讓 單 後 ， 蓋上 發票 章及 簽上 大名 後 ， 掛號 寄回 本 公司 ( 地址 如下 ) ， 始可 辦理 退貨 。 公司 名稱 ： 民視 文化 事業 股份 有限公司 公司地址 ： 24445 新北市 林口 區 信義路 99 號 6 樓 收件 單位 ： 消費 高手 Pure17go ─ 客服 中心 收 感謝您 的 支持 pure17go   客服 中心 敬 上
36,若 我 所 訂購 的 商品 是 使用 信用卡 分期付款  若 屆時 部分 商品 不 滿意  請問 可以 部分 退貨 \ 退款 嗎  ,您好 ， 很 抱歉 ! 由於 您 訂購 商品 的 付款 方式 是 選擇 分期付款 ， 因 銀行 端的 作業 無法 配合 部分 的 分期 退款 ， 故 訂單 若 申請 部分 退貨 ， 款項 將會 以 退款 方式 處理 ， 請 您 於 網頁 申請 退貨 時 ， 再 填寫 正確 退款 帳戶 資料 ， 待 收回 商品 點收 無誤 後 ， 款項 將會 於 7 - 10 個 工作 天 內 申請 退款 處理 。 感謝您 的 支持 Pure17go 客服 中心 敬 上
37,我 在 網路上 已經 申請 退貨  大概 多久 司 機會 來 收貨  ,您好 ， 很 高興 為您服務 若 您 在 網路上 已 申請 退貨 司機 將會 在 七個 工作 天 ( 不 含 假日 ) 內至 您 收件 地址 收取 退貨 謝謝您 的 來信 。 如 有 任何 問題 請 不吝 告知 ~ pure17go   客服 中心 敬 上
38,我 是 用 信用卡 付款  請問 多久 可以 收到 款,您好 ， 很 高興 為您服務 若 您 訂單 付款 方式 為 ： 信用卡 付款 訂單 辦理 退貨 情況 ， 退款 一律 使用 信用卡 退刷 處理 款項 會 在 收回 退貨 商品 確認 無誤 後 ， 約 10 個 工作 天 內 完成 退刷 ！ 但 因 每張 信用卡 結帳 日 不同 ， 刷 退 款項 可能 列於 本月 或次 月 帳單 中 ， 請 依 您 的 結帳 日 判斷 ! 謝謝您 的 來信 。 pure17go 客服 中心   敬 上
39,請問 我 是 付現金  不是 刷卡 付款  是 怎麼 退款 ,您好 ， 很 高興 為您服務 若 您 訂單 付款 方式 為 ： 貨到付款 或 ATM 轉帳 訂單 辦理 退貨 情況 ， 退款 一律 皆 退 至 您 提供 的 退款 帳戶 款項 會 在 收回 退貨 商品 確認 無誤 後 ， 約 10 個 工作 天 內 完成 退款 ！ 謝謝您 的 來信 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go   客服 中心 敬 上
40,請問 我要 如何 退貨 ,您好 ， 您 收到 商品 皆 享有 七天 審閱 期 ， 但 審閱 期 並非 試用期 ！ ！ 若 您 在 鑑賞 期內 欲 辦理 退貨 ， 請 您 務必 保持 商品 完整性 ， 並於 收到 商品 三個 工作 天 後 ， 透過 網路 申請 退貨 需求 。 若 您 是 使用 手機 或是 平版 上網 ， 請 先於 網頁 下方 點選 【 電腦 版 】 再 登入 會員 ， 點選 訂單 查詢 辦理 退貨 。 1 、 登入 會員帳號 2 、 點選 訂單 查詢 3 、 點選 欲 退貨 之 購物 編號 ， 訂單 狀態 須為 【 出貨 完成 】 4 、 點選 【 我要 退貨 】 申請 ， 依照 網頁 說明 ， 完成 退貨 申請 5 、 確認 退貨 申請 ， 司機 將於 七個 工作 天 ( 不 含 假日 ) 至原 收件 地址 收取 退貨 6 、 待 倉庫 收到 退貨 商品 ， 點收 無誤 後 ， 退款 即會 在 10 個 工作 天 內 申請 退刷 / 退匯 處理 特別 注意 ： 若 收回 退貨 商品 經 點收 後 ， 發現 退貨 商品 不符 審閱 期 規範 ， 將 無法 受理 您 的 退貨 ， 且 後續 會 協助 將 退貨 商品 寄還給 您 。 pure17go 客服 中心   敬 上
41,請問 我 買 錯 顏色  買錯 組合  要換 尺寸  可以 直接 更換 嗎,您好 ， 很 高興 為您服務 若 您 收到 商品 ， 發現 商品 尺寸 、 品項 、 顏色 不符 需求 ， 很 抱歉 ， 無法 以 換貨 方式 更換 ， 請 您 辦理 退貨 ， 重下 新單 ， 換貨 僅 提供 商品 瑕疵 情況 ， 請 廠商 協助 處理   ， 在 商品 未 使用 及 下水 且 商品 完整 情況 下   ， 商品 皆 享有 七天 鑑賞期 ， 請 您 透過 網路 申請 退貨 處理 ! 謝謝您 的 來信 。 如 您 還有 任何 需要 我們 服務 的 地方 ， 歡迎您 再次 來信 。 pure17go   客服 中心 敬 上
42,請問 活動 折價券 如何 使用 ,您好 ， 活動 折價券 使用 辦法 如下 ： 折價券 使用 說明 : 1 . 若要 查詢 每張 折價券 使用 期限 與 消費 折抵 門檻 ， 請 您 登入 網頁 會員 後 ， 即可 至 您 的 會員 帳戶 內 點選 【 折價券 】 ， 查詢 您 的 折價券 餘額 及 效期 ， 若 在 期限 前未 使用 完畢 ， 則 視為 自動 放棄 。 ， 造成 不便 敬請 見諒 2 . 結帳 時若 訂單 商品 金額 ， 皆 符合 折價券 折抵 規範 ， 系統會 依照 折價券 期限 自動 折抵 ， 另 提醒您 單筆 訂單 僅能 使用 一張 折價券 折扣 。 3 . 部分 已 優惠 商品 不 適用 折價券 折抵 ， 請 參見 各 商品 頁 說明 。 4 . 折價券 一經 使用 則 不可 返回 ， 若 您 取消 訂購 （ 或 退貨 ） 該 折價券 將不 退回 。 5 . 特別 要 提醒 的 部份 ， 若 您 部份 退貨 造成 不符 折抵 條件 ， 則 退貨 金額 需 扣除 該次 使用 的 折價券 金額 。 （ 例 ： 若 訂單 金額 2000 ， 使用 折價券 200 元 ， 實際 支付 1800 元 ， 部份 退貨 900 元 ， 則實 退 金額 為 900 - 200 = 700 元 ) 。 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
43,請問 生日 折價券 如何 獲得 ,您好 ， 很 高興 為您服務 。 生日 折價券 會 在 當月份 1 號 發送 當月份 的 生日 壽星 會員 三百元 。 如 您 是 三月份 生日 ， 因此 三月份 的 壽星 折價券 已 在 3 / 1 即 已 發送 完畢 。 於 3 / 1 以後 加入 會員 的 三月份 壽星 即會 無法 收到 折價券 。 本站 的 折價券 使用 說明 如下 ： 1 . 單次 消費 金額 超過 1000 元 以上 即可 使用 1 張 100 元 的 折價券 ， 提醒您 單筆 訂單 僅能 使用 一張 折價券 折扣 。 2 . 每張 折價券 皆 有 使用 期限 ， 您 可以 至 您 的 會員 帳戶 查詢 您 的 折價券 餘額 、 生效 日期 及 截止 日期 ， 若 在 期限 前未 使用 完畢 ， 則 視為 自動 放棄 。 3 . 折價券 一經 使用 則 不可 返回 ， 若 您 辦理 退貨 該 折價券 將不 退回 。 4 . 特別 要 提醒 的 部份 ， 若 您 部份 退貨 ， 則 退貨 金額 需 扣除 該次 使用 的 折價券 金額 。 （ 例 ： 若 訂單 金額 2600 ， 使用 折價券 200 元 ， 實際 支付 2400 元 ， 部份 退貨 900 元 ， 則實 退 金額 為 900 - 200 = 700 元 ） 但 若 商品 網頁 有 註 明 特惠 商品 不 適用 折價券 折扣 ， 即 無法 與 折價券 合 併 使用 。 以上 說明 ， 若 有 不 清楚 的 地方 ， 歡迎 隨時 來信 ， 我們 將 會 儘 速 為您服務 ， 謝謝 。 pure17go 　 客服 中心 敬 上
44,請問 折價券 有 使用 上 的 限制 嗎,親愛 的 顧客 您好 ， 本站 的 折價券 使用 說明 如下 ： 1 . 單次 消費 金額 超過 1000 元 以上 即可 使用 1 張 100 元 的 折價券 ， 提醒您 單筆 訂單 僅能 使用 單張 折價券 折扣 。 2 . 每張 折價券 皆 有 使用 期限 ， 您 可以 至 您 的 會員 帳戶 查詢 您 的 折價券 餘額 及 效期 ， 若 在 期限 前未 使用 完畢 ， 則 視為 自動 放棄 。 3 . 折價券 一經 使用 則 不可 返回 ， 若 您 辦理 退貨 該 折價券 將不 退回 。 4 . 特別 要 提醒 的 部份 ， 若 您 部份 退貨 ， 則 退貨 金額 需 扣除 該次 使用 的 折價券 金額 。 （ 例 ： 若 訂單 金額 2600 ， 使用 折價券 200 元 ， 實際 支付 2400 元 ， 部份 退貨 900 元 ， 則實 退 金額 為 900 - 200 = 700 元 ） 5 . 折價券 系統 皆 會 自動 判斷 折抵 ， 除非 特殊 活動 期間 ， 網頁 無法 使用 折價券 折扣 ， 即 無法 折抵 。 以上 說明 ， 若 有 不 清楚 的 地方 ， 歡迎 隨時 來信 ， 我們 將 會 儘 速 為您服務 ， 謝謝 ～
